Date_inv;Troncons_ID;Passage_num;Distance ;Vitesse;Technique;Heure_debut;Heure_fin;Temp_air;Couv_nuage;Vent;Obs;Initiales;Nom_fichier;Commentaires;;Passage_num = pour le drone seulement, ID du passage faunique prévue de 1 à 4 ;;;;;;;;;;;;;
16/06/2025;57;1;0,5;7,2;Drone;08:20;09:20;;;;0;;;Compliqué avec la courbe et manque de batteries, passage non concluant à refaire * mise à jour du 16/02/2026 ce message était probablement destiné au T20. Cependant, le drone n'est peut-être pas à une hauteur suffisante;;;;;;;;;;;;;;;
16/06/2025;57;1;2;60;GoPro;07:48;07:58;;;;0;;;;;;;;;;;;;;;;;;
25/06/2025;35;1;0,5;7,2;Drone;07:33;08:00;23;75;6,00;0;;DJI_202506250736_022_T35;;;;;;;;;;;;;;;;
25/06/2025;35;1;2;60;GoPro;07:20;07:24;;;;0;;;;;;;;;;;;;;;;;;
25/06/2025;36;1;0,5;7,2;Drone;06:30;06:59;;50;4,00;0;;DJI_202506250651_021_T36vrai;;;;;;;;;;;;;;;;
25/06/2025;36;1;2;60;GoPro;06:18;06:21;21;15;;0;;;GoPro au centre du capot à partir de maintenant;;;;;;;;;;;;;;;
01/07/2025;61;1;1;1,3;Pied;08:20;09:07;;;;1;;;;;;;;;;;;;;;;;;
01/07/2025;61;1;2;60;GoPro;07:58;08:02;;;;0;;;;;;;;;;;;;;;;;;
01/07/2025;65;1;1;0,8;Pied;06:37;07:50;;;;2;;;Grenouille (prob LICL + raton laveur);;;;;;;;;;;;;;;
01/07/2025;65;1;2;60;GoPro;06:15;06:33;22;100;;0;;;;;;;;;;;;;;;;;;
02/07/2025;41;1;2;60;GoPro;07:14;07:59;;;;0;;;;;;;;;;;;;;;;;;
02/07/2025;41;1;0,5;7,2;Drone;07:34;07:45;;;22,00;0;;DJI_202507020729_024_Mortalite-A10-SE-1;;;;;;;;;;;;;;;;
02/07/2025;42;1;2;60;GoPro;07:00;07:12;;;;0;;;;;;;;;;;;;;;;;;
02/07/2025;42;1;0,5;7,2;Drone;06:33;06:42;20;2;18,00;0;;DJI_202507020633_023_Mortalite-A10-NE-3;;;;;;;;;;;;;;;;
07/07/2025;3;1;0,5;7,2;Drone;06:23;06:53;;;15,00;0;;DJI_202507070630_025_T03;;;;;;;;;;;;;;;;
07/07/2025;3;1;2;60;GoPro;06:05;06:10;19;100;;0;;;;;;;;;;;;;;;;;;
07/07/2025;9;1;1;0,8;Pied;07:28;08:42;;;;2;;;Mamm en morceaux + raton;;;;;;;;;;;;;;;
07/07/2025;9;1;2;60;GoPro;07:14;07:21;;;;0;;;;;;;;;;;;;;;;;;
08/07/2025;15;1;1;0,7;Pied;05:36;07:00;;;;2;;;Grenouille + mamm moyen non identifié (aplati). Présence également de ce qui ressemble à des morceaux de chair aplatis (poulet?);;;;;;;;;;;;;;;
08/07/2025;15;1;2;60;GoPro;05:26;05:31;16;;;0;;;;;;;;;;;;;;;;;;
08/07/2025;30;1;0,5;7,2;Drone;07:26;07:57;;;4,00;NA;;Aucun élément - fichier perdu?;;;;;;;;;;;;;;;;
08/07/2025;30;1;2;60;GoPro;07:13;07:24;;;;0;;;;;;;;;;;;;;;;;;
08/07/2025;31;1;0,5;7,2;Drone;08:20;08:50;19;50;2,00;0;;DJI_202507080829_027_T31;;;;;;;;;;;;;;;;
08/07/2025;31;1;2;60;GoPro;08:08;08:11;;;;0;;;;;;;;;;;;;;;;;;
14/07/2025;22;1;2;60;GoPro;09:22;09:25;;;;0;;;;;;;;;;;;;;;;;;
14/07/2025;22;1;1;0,8;Pied;07:58;09:13;;;;6;;;Obs audio LICL + barrage de castor. Mortalité écureuil gri, micrommamifère, plusieurs oiseaux, non identifié de taille moyenne et raton laveur? en décomposittion avancée;;;;;;;;;;;;;;;
14/07/2025;45;1;2;60;GoPro;10:38;10:41;;;;0;;;;;;;;;;;;;;;;;;
