"tr_glob","date","tr","sens","km","speed","method","tr_id","hm1","hm2","min","cat"
"T45",2025-08-13,"T45_S","S",1,90,"G","20250813_T45_S_G",2025-08-13 09:12:00,2025-08-13 09:13:00,1,2
"T47",2025-07-28,"T47_E",NA,0.5,7.2,"D","20250728_T47_E_D",2025-07-28 06:52:00,2025-07-28 06:56:00,4,2
"T47",2025-07-15,"T47_E",NA,0.5,7.2,"D","20250715_T47_E_D",2025-07-15 06:38:00,2025-07-15 06:42:00,4,2
"T47",2025-07-28,"T47_O","O",1,60,"G","20250728_T47_O_G",2025-07-28 06:20:00,2025-07-28 06:21:00,1,2
"T47",2025-07-28,"T47_E","E",1,60,"G","20250728_T47_E_G",2025-07-28 06:28:00,2025-07-28 06:29:00,1,2
"T47",2025-07-15,"T47_O","O",1,60,"G","20250715_T47_O_G",2025-07-15 05:25:00,2025-07-15 05:26:00,1,2
"T47",2025-07-15,"T47_E","E",1,60,"G","20250715_T47_E_G",2025-07-15 05:34:00,2025-07-15 05:35:00,1,2
"T48",2025-06-02,"T48_O","O",1,60,"G","20250602_T48_O_G",2025-06-02 06:25:00,2025-06-02 06:26:00,1,1
"T48",2025-07-17,"T48_E","E",1,1,"P","20250717_T48_E_P",2025-07-17 08:35:00,2025-07-17 09:30:00,55,1
"T48",2025-06-02,"T48_E","E",1,2,"P","20250602_T48_E_P",2025-06-02 07:10:00,2025-06-02 07:44:00,34,1
"T48",2025-07-17,"T48_E","E",1,60,"G","20250717_T48_E_G",2025-07-17 08:16:00,2025-07-17 08:17:00,1,1
"T48",2025-07-17,"T48_O","O",1,60,"G","20250717_T48_O_G",2025-07-17 08:33:00,2025-07-17 08:34:00,1,1
"T48",2025-06-02,"T48_E","E",1,60,"G","20250602_T48_E_G",2025-06-02 05:57:00,2025-06-02 05:58:00,1,1
"T49",2025-07-28,"T49","O",1,60,"G","20250728_T49_G",2025-07-28 06:30:00,2025-07-28 06:31:00,1,2
"T49",2025-07-15,"T49","O",1,60,"G","20250715_T49_G",2025-07-15 05:39:00,2025-07-15 05:40:00,1,2
"T49",2025-07-15,"T49","E",1,60,"G","20250715_T49_G",2025-07-15 05:36:00,2025-07-15 05:37:00,1,2
"T49",2025-07-28,"T49","E",1,0.8,"P","20250728_T49_P",2025-07-28 07:47:00,2025-07-28 09:00:00,73,2
"T49",2025-07-28,"T49","E",1,60,"G","20250728_T49_G",2025-07-28 06:33:00,2025-07-28 06:34:00,1,2
"T49",2025-07-15,"T49",NA,0.4,7.2,"D","20250715_T49_D",2025-07-15 06:01:00,2025-07-15 06:05:00,4,2
"T52",2025-06-10,"T52_O","E",1,1.3,"P","20250610_T52_O_P",2025-06-10 06:20:00,2025-06-10 07:00:00,40,2
"T52",2025-06-10,"T52_O","O",1,60,"G","20250610_T52_O_G",2025-06-10 07:39:00,2025-06-10 07:40:00,1,2
"T52",2025-06-10,"T52_E","E",1,60,"G","20250610_T52_E_G",2025-06-10 07:35:00,2025-06-10 07:36:00,1,2
"T52",2025-08-04,"T52_O","O",1,60,"G","20250804_T52_O_G",2025-08-04 09:23:00,2025-08-04 09:24:00,1,2
"T52",2025-08-04,"T52_O","E",1,1.9,"P","20250804_T52_O_P",2025-08-04 07:35:00,2025-08-04 09:06:00,91,2
"T52",2025-08-04,"T52_E","E",1,60,"G","20250804_T52_E_G",2025-08-04 09:17:00,2025-08-04 09:18:00,1,2
"T53",2025-06-10,"T53_E","E",1,60,"G","20250610_T53_E_G",2025-06-10 07:30:00,2025-06-10 07:31:00,1,1
"T53",2025-08-04,"T53_O",NA,0.5,7.2,"D","20250804_T53_O_D",2025-08-04 06:54:00,2025-08-04 07:00:00,6,1
"T53",2025-08-04,"T53_E","E",1,60,"G","20250804_T53_E_G",2025-08-04 07:15:00,2025-08-04 07:16:00,1,1
"T53",2025-08-04,"T53_O","O",1,60,"G","20250804_T53_O_G",2025-08-04 07:20:00,2025-08-04 07:21:00,1,1
"T53",2025-06-10,"T53_O","E",1,1.3,"P","20250610_T53_O_P",2025-06-10 05:20:00,2025-06-10 06:06:00,46,1
"T53",2025-06-10,"T53_O","O",1,60,"G","20250610_T53_O_G",2025-06-10 07:26:00,2025-06-10 07:27:00,1,1
"T57",2025-06-16,"T57_E",NA,0.5,7.2,"D","20250616_T57_E_D",2025-06-16 08:50:00,2025-06-16 08:54:00,4,2
"T57",2025-08-06,"T57_E","E",1,60,"G","20250806_T57_E_G",2025-08-06 07:15:00,2025-08-06 07:16:00,1,2
"T57",2025-08-06,"T57_E",NA,0.5,7.2,"D","20250806_T57_E_D",2025-08-06 06:46:00,2025-08-06 06:51:00,5,2
"T57",2025-06-16,"T57_E","E",1,60,"G","20250616_T57_E_G",2025-06-16 07:58:00,2025-06-16 07:59:00,1,2
"T57",2025-06-16,"T57_O","O",1,60,"G","20250616_T57_O_G",2025-06-16 07:48:00,2025-06-16 07:49:00,1,2
"T57",2025-08-06,"T57_O","O",1,60,"G","20250806_T57_O_G",2025-08-06 07:06:00,2025-08-06 07:07:00,1,2
"T59",2025-07-14,"T59","O",1,60,"G","20250714_T59_G",2025-07-14 07:50:00,2025-07-14 07:51:00,1,1
"T59",2025-08-13,"T59","O",2,1.4,"P","20250813_T59_P",2025-08-13 05:48:00,2025-08-13 07:20:00,92,1
"T59",2025-08-13,"T59","E",1,60,"G","20250813_T59_G",2025-08-13 05:46:00,2025-08-13 05:47:00,1,1
"T59",2025-07-14,"T59","E",1,60,"G","20250714_T59_G",2025-07-14 07:54:00,2025-07-14 07:55:00,1,1
"T59",2025-07-14,"T59","O",2,1,"P","20250714_T59_P",2025-07-14 06:00:00,2025-07-14 07:45:00,105,1
"T59",2025-08-13,"T59","O",1,60,"G","20250813_T59_G",2025-08-13 05:42:00,2025-08-13 05:43:00,1,1
"T61",2025-07-01,"T61_N","N",1,60,"G","20250701_T61_N_G",2025-07-01 07:58:00,2025-07-01 07:59:00,1,2
