date,troncon,sens,inventaire_id,passage_num,distance,vitesse,technique,heure_debut,heure_fin,temp_air,couv_nuage,vent,initiales,nom_fichier
2025-07-07,T09_E,E,T09_E20250707gopro,1,1,60,gopro,7:14,7:15,NA,NA,NA,EM_CM,GX010136_20250707_0714_T09_A20E
2025-07-07,T09_O,O,T09_O20250707gopro,1,1,60,gopro,7:21,7:22,NA,NA,NA,EM_CM,GX010137_20250707_0721_T09_A20O
2025-06-02,T25_E,E,T25_E20250602pied,1,1,1.3,pied,7:53,8:40,NA,NA,NA,EM_CM,NA
2025-07-08,T15_O,O,T15_O20250708gopro,1,1,60,gopro,5:26,5:27,16,,NA,EM_CM,GX010138_20250708_0526_T15_A40O
2025-07-08,T15_E,E,T15_E20250708gopro,1,1,60,gopro,5:31,5:32,NA,NA,NA,EM_CM,GX010139_20250708_0531_T15_A40E
2025-07-08,T30_S,NA,T30_S20250708drone,1,0.5,7.2,drone,7:44,7:49,17,,4,EM_CM,NA
2025-07-08,T30_S,S,T30_S20250708gopro,1,1,60,gopro,7:13,7:14,NA,NA,NA,EM_CM,GX010140_20250708_0713_T30_A30E
2025-07-08,T30_N,N,T30_N20250708gopro,1,1,60,gopro,7:24,7:25,NA,NA,NA,EM_CM,GX010141_20250708_0724_T30_A30O
2025-07-08,T31_E,NA,T31_E20250708drone,1,0.5,7.2,drone,8:42,8:46,19,50,2,EM_CM,DJI_202507080829_027_T31
2025-07-08,T31_O,O,T31_O20250708gopro,1,1,60,gopro,8:08,8:09,NA,NA,NA,EM_CM,GX010142_20250708_0808_T31_A20O
2025-07-08,T31_E,E,T31_E20250708gopro,1,1,60,gopro,8:11,8:12,NA,NA,NA,EM_CM,GX010143_20250708_0811_T31_A20E
2025-07-14,T22_O,O,T22_O20250714gopro,1,1,60,gopro,9:22,9:23,NA,NA,NA,EM_CM,GX010146_20250714_0922_T22_R158O
2025-07-14,T22_E,E,T22_E20250714gopro,1,1,60,gopro,9:25,9:26,NA,NA,NA,EM_CM,GX010147_20250714_0925_T22_R158E
2025-06-02,T26_O,O,T26_O20250602pied,1,1,2,pied,6:30,7:00,NA,NA,NA,EM_CM,NA
2025-07-14,T45_S,S,T45_S20250714gopro,1,1,60,gopro,10:38,10:39,NA,NA,NA,EM_CM,GX010148_20250714_1038_T45_A15S
2025-07-14,T45_N,N,T45_N20250714gopro,1,1,60,gopro,10:41,10:42,NA,NA,NA,EM_CM,GX010149_20250714_1041_T45_A15N
2025-07-17,T26_O,O,T26_O20250717pied,2,1,1.1,pied,6:30,7:20,24,80,NA,EM_CM,NA
2025-07-14,T59,O,T5920250714gopro,1,1,60,gopro,7:50,7:51,NA,NA,NA,EM_CM,GX010144_20250714_0750_T59_R158O
2025-07-14,T59,E,T5920250714gopro,1,1,60,gopro,7:54,7:55,NA,NA,NA,EM_CM,GX010145_20250714_0754_T59_R158E
2025-06-09,T28,S,T2820250609pied,1,1,1.3,pied,6:35,7:18,NA,NA,NA,EM_CM,NA
2025-08-11,T30_S,S,T30_S20250811pied,1,1,0.9,pied,7:59,9:07,NA,NA,NA,EM_CM,NA
2025-07-15,T40_E,NA,T40_E20250715drone,1,0.5,7.2,drone,7:22,7:26,NA,NA,NA,EM_CM,DJI_202507150719_032_T40
2025-07-15,T40_O,O,T40_O20250715gopro,1,1,60,gopro,5:27,5:28,NA,NA,NA,EM_CM,GX010151_20250715_0527_T40_A30O
2025-07-15,T40_E,E,T40_E20250715gopro,1,1,60,gopro,5:32,5:33,NA,NA,NA,EM_CM,GX010152_20250715_0532_T40_A30E
2025-07-15,T47_E,NA,T47_E20250715drone,1,0.5,7.2,drone,6:38,6:42,NA,NA,NA,EM_CM,DJI_202507150636_029_T47 et DJI_202507150636_030
2025-07-15,T47_O,O,T47_O20250715gopro,1,1,60,gopro,5:25,5:26,NA,NA,NA,EM_CM,GX010150_20250715_0525_T47_A30O
2025-07-15,T47_E,E,T47_E20250715gopro,1,1,60,gopro,5:34,5:35,NA,NA,NA,EM_CM,GX010153_20250715_0534_T47_A30E
2025-07-15,T49,NA,T4920250715drone,1,0.4,7.2,drone,6:01,6:05,20,0,15,EM_CM,DJI_202507150550_028_T49
2025-07-15,T49,E,T4920250715gopro,1,1,60,gopro,5:36,5:37,NA,NA,NA,EM_CM,GX010154_20250715_0536_T49_R104E
2025-07-15,T49,O,T4920250715gopro,1,1,60,gopro,5:39,5:40,NA,NA,NA,EM_CM,GX010155_20250715_0539_T49_R104O
2025-07-17,T26_E,E,T26_E20250717gopro,2,1,60,gopro,8:05,8:06,NA,NA,NA,EM_CM,GX010156_20250717_0805_T26_A20E
2025-07-17,T26_O,O,T26_O20250717gopro,2,1,60,gopro,8:10,8:11,NA,NA,NA,EM_CM,GX010157_20250717_0810_T26_A20O
2025-08-11,T31_E,E,T31_E20250811pied,1,1,1,pied,6:35,7:37,22,0,NA,EM_CM,NA
2025-07-17,T48_E,E,T48_E20250717gopro,2,1,60,gopro,8:16,8:17,NA,NA,NA,EM_CM,GX010158_20250717_0816_T48_A30E
